,Year,Job_Role,Python,R,SQL,C,C++,Java,Javascript,Julia,Swift,Bash,MATLAB,None,Other,C#,PHP,Go
1,2020,Student,Python,R,SQL,C,,,Javascript,,,,MATLAB,,Other,,,
2,2020,Data Engineer,Python,R,SQL,,,,,,,,,,,,,
3,2020,Software Engineer,,,,,,Java,Javascript,,,Bash,,,,,,
4,2020,Data Scientist,Python,,SQL,,,,,,,Bash,,,,,,
5,2020,Software Engineer,Python,,,,,,,,,,,,,,,
6,2020,Data Analyst,Python,R,,,,,,,,,,,,,,
7,2020,Student,Python,R,,C,,,,,,,,,,,,
8,2020,Student,,R,,,,,,,,,,,,,,
9,2020,Data Scientist,Python,,SQL,,,,,,,Bash,,,,,,
10,2020,Student,Python,,SQL,,,,,,,,,,,,,
11,2020,Student,Python,R,SQL,C,,Java,,,,,,,,,,
12,2020,Research Scientist,,R,,,,,,,,,,,,,,
13,2020,Student,Python,R,SQL,,,,,,,,MATLAB,,,,,
14,2020,Data Engineer,Python,,SQL,,,,,,,,MATLAB,,,,,
15,2020,Other,Python,R,,,,,,,,,,,,,,
16,2020,Student,,R,SQL,,,,,,,,,,,,,
17,2020,Currently not employed,,,SQL,,,,,,,,,,,,,
18,2020,Student,Python,,,,,Java,Javascript,,,Bash,,,,,,
19,2020,Student,Python,,SQL,C,C++,,Javascript,,,,,,,,,
20,2020,Student,Python,,,,,Java,Javascript,,,,,,,,,
21,2020,Statistician,,R,SQL,,C++,,,,,,,,,,,
22,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
23,2020,Product/Project Manager,Python,,,,,,,,,,,,,,,
24,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
25,2020,Software Engineer,Python,,,C,C++,,,,,,,,Other,,,
26,2020,Student,Python,R,,,,,,,,,,,,,,
27,2020,Student,Python,,,C,C++,Java,,,,,,,,,,
28,2020,Student,Python,,,,,Java,,,,,,,,,,
29,2020,Software Engineer,Python,,,,,,,,,,,,,,,
30,2020,Machine Learning Engineer,Python,,,,,,,,,Bash,,,,,,
31,2020,Data Analyst,Python,R,SQL,,,,Javascript,,,,,,Other,,,
32,2020,Student,Python,,,C,C++,Java,Javascript,,,,,,,,,
33,2020,Machine Learning Engineer,Python,,,,,,Javascript,,,,,,,,,
34,2020,Student,Python,,SQL,C,C++,,,,,,MATLAB,,,,,
35,2020,Other,,,,,,,,,,,,,,,,
36,2020,Other,,,,,,,,,,,,,,,,
37,2020,Student,Python,,SQL,,,,Javascript,,,,,,,,,
38,2020,Data Scientist,Python,R,SQL,,,Java,,,,,,,,,,
39,2020,Currently not employed,Python,R,,,,,,,,,,,Other,,,
40,2020,Data Scientist,Python,,,C,C++,,,,,,,,,,,
41,2020,Student,Python,R,SQL,,,,,,,,,,,,,
42,2020,Data Analyst,,,,,C++,,,,,,,,,,,
43,2020,Other,,,SQL,C,C++,Java,,,,,MATLAB,,,,,
44,2020,Currently not employed,Python,R,,,,,,,,,,,,,,
45,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
46,2020,Other,Python,,,C,,,,,,,,,,,,
47,2020,,,,,,,,,,,,,,,,,
48,2020,Software Engineer,Python,,SQL,,,Java,Javascript,,,,,,Other,,,
49,2020,Data Scientist,Python,,,,,,,,,,,,,,,
50,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
51,2020,Data Analyst,,,,,,,,,,,,None,,,,
52,2020,Other,,,,,,,,,,,,None,,,,
53,2020,Software Engineer,Python,,SQL,C,C++,,,,,Bash,,,Other,,,
54,2020,,,,,,,,,,,,,,,,,
55,2020,Software Engineer,,,,,C++,,Javascript,,,,,,,,,
56,2020,Other,,,,,,,,,,,,,,,,
57,2020,Software Engineer,Python,,SQL,C,,,,,,,,,,,,
58,2020,Student,Python,,,,C++,,,,,,MATLAB,,,,,
59,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
60,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
61,2020,Data Scientist,,R,SQL,C,,,Javascript,,,,,,,,,
62,2020,Student,Python,,SQL,,,Java,Javascript,,,,MATLAB,,,,,
63,2020,Student,Python,,,,,,,,,,,,,,,
64,2020,Student,Python,,,C,C++,,,,,,,,,,,
65,2020,Research Scientist,Python,R,,,,,,,,,,,,,,
66,2020,Data Scientist,Python,,,,,,,,,,,,,,,
67,2020,Currently not employed,Python,,,,,,,,,,,,,,,
68,2020,Research Scientist,Python,,SQL,C,,,,,,,,,,,,
69,2020,Software Engineer,Python,,,,,Java,,,,,,,,,,
70,2020,Student,Python,,,,,,,,,,,,,,,
71,2020,Machine Learning Engineer,Python,R,SQL,,,,,,,Bash,,,,,,
72,2020,Other,Python,,,C,,,,,,,MATLAB,,,,,
73,2020,Student,Python,,,,,,,,,,,,,,,
74,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
75,2020,Other,,R,,,,,,,,,,,,,,
76,2020,Software Engineer,,R,SQL,,,,,,,Bash,,,,,,
77,2020,Other,Python,,,,,Java,Javascript,,,,,,,,,
78,2020,Data Scientist,Python,R,SQL,C,,Java,,,,,,,,,,
79,2020,Machine Learning Engineer,Python,,SQL,,,,,,,Bash,,,,,,
80,2020,Other,,,,,,,,,,,,,,,,
81,2020,Other,Python,,,,,,,,,,,,,,,
82,2020,Data Analyst,Python,,SQL,,,,Javascript,,,,,,,,,
83,2020,Other,Python,,,,,,,,,,,,,,,
84,2020,Research Scientist,Python,,,,C++,,,,,,,,,,,
85,2020,Student,,,,,,,,,,,,,,,,
86,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,,,,
87,2020,Student,Python,,,,C++,Java,,,,,,,,,,
88,2020,Other,Python,,SQL,,,,,,,,,,,,,
89,2020,Student,Python,,SQL,C,C++,,,,,,,,,,,
90,2020,Data Scientist,Python,R,,,,,,,,,,,,,,
91,2020,Currently not employed,Python,,SQL,,,,Javascript,,,,,,,,,
92,2020,Student,Python,R,,,,,,,,,,,,,,
93,2020,Data Scientist,Python,,,,,,,,,,,,,,,
94,2020,Data Analyst,Python,,SQL,,C++,,Javascript,,,,MATLAB,,,,,
95,2020,Machine Learning Engineer,Python,,,,,,Javascript,,,,,,,,,
96,2020,Student,,,,,,,,,,,,,,,,
97,2020,Currently not employed,Python,,,C,,,,,,,,,,,,
98,2020,Other,Python,,,,,,,,,,,,,,,
99,2020,,,,,,,,,,,,,,,,,
100,2020,Student,,,,,,,,,,,,,,,,
101,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
102,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
103,2020,Student,,,,,,,,,,,,,,,,
104,2020,Data Analyst,Python,,,,,,,,,,,,Other,,,
105,2020,Software Engineer,Python,,,,,,,,Swift,,,,,,,
106,2020,Machine Learning Engineer,Python,,,,C++,,,,,,,,,,,
107,2020,Student,Python,,SQL,C,C++,Java,Javascript,,,,,,Other,,,
108,2020,Other,Python,R,SQL,,,,,Julia,,,,,,,,
109,2020,Currently not employed,Python,,,,,,,Julia,,Bash,,,,,,
110,2020,Machine Learning Engineer,Python,,,C,C++,Java,,,,,,,,,,
111,2020,Business Analyst,Python,,,,,,,,,,,,,,,
112,2020,,,,,,,,,,,,,,,,,
113,2020,Student,Python,,,,,,,,,,,,,,,
114,2020,Data Analyst,Python,R,,,,,,,,,,,,,,
115,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
116,2020,Student,,R,,,,,,,,,,,,,,
117,2020,Student,,,,C,,Java,,,,,,,,,,
118,2020,Currently not employed,Python,,,C,,Java,,,,,,,,,,
119,2020,Data Analyst,Python,,,,,,,,,,MATLAB,,,,,
120,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
121,2020,Student,Python,,,,,Java,Javascript,,,,,,,,,
122,2020,Research Scientist,Python,,,,,,Javascript,,,,,,,,,
123,2020,,,,,,,,,,,,,,,,,
124,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
125,2020,Machine Learning Engineer,Python,,,C,C++,,,,Swift,,,,Other,,,
126,2020,Software Engineer,Python,,,,,,,,,,,,,,,
127,2020,Student,Python,,,,,,,,,,,,,,,
128,2020,Student,Python,,SQL,,,,,,,,,,,,,
129,2020,Student,Python,,,,,,,,,,,,,,,
130,2020,Student,Python,,,,,,Javascript,,,,,,,,,
131,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
132,2020,,,,,,,,,,,,,,,,,
133,2020,Research Scientist,Python,R,SQL,,,Java,,,,,,,,,,
134,2020,Student,Python,,,,,,Javascript,,,,,,,,,
135,2020,Machine Learning Engineer,Python,,,,C++,,,,,,MATLAB,,,,,
136,2020,Student,Python,,,,,,,,,,,,,,,
137,2020,Data Scientist,Python,,SQL,,,,,,,,,,Other,,,
138,2020,Software Engineer,Python,,SQL,,,Java,Javascript,Julia,,,,,,,,
139,2020,Data Analyst,Python,R,,,,,,,,,,,,,,
140,2020,Product/Project Manager,Python,,,,,,,,,,MATLAB,,,,,
141,2020,Data Analyst,,,SQL,,,,,,,,,,,,,
142,2020,Software Engineer,Python,,SQL,,,Java,Javascript,,,Bash,,,,,,
143,2020,Data Scientist,Python,,,,,,,,,,,,,,,
144,2020,Currently not employed,Python,,SQL,C,C++,Java,Javascript,,,Bash,,,Other,,,
145,2020,Research Scientist,Python,R,,,,,,,,,,,,,,
146,2020,Business Analyst,,,,,,,,,,,,,,,,
147,2020,Data Analyst,Python,,SQL,,C++,,,,Swift,Bash,,,,,,
148,2020,Software Engineer,,,SQL,,C++,,,,,,,,,,,
